query_id,query,query_length_tokens,query_length_bucket,query_type,candidate_count,relevant_count,exact_count,partial_count,tfidf_ndcg@10,bm25_ndcg@10,supervised_ndcg@10,ltr_ndcg@10,ltr_minus_bm25,ltr_minus_tfidf,ltr_minus_supervised,bm25_relation
73,certified international melamine,3,medium,general,181,159,0,159,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
76,46 inch closet door,4,medium,general,135,55,2,53,0.9495662644168644,0.6967564500834763,0.6325004241086446,0.876848805629635,0.18009235554615866,-0.07271745878722946,0.24434838152099037,LTR_better
78,dorel vanity,2,short,short,948,853,3,850,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
82,bathroom vanity with counter space,5,medium,general,668,654,53,601,0.9504206262110482,1.0,0.9888026041880241,1.0,0.0,0.04957937378895183,0.011197395811975874,tie
84,full metal bed rose gold,5,medium,general,299,209,1,208,0.867043684838194,1.0,1.0,1.0,0.0,0.13295631516180595,0.0,tie
90,filaret outdoor sofa,3,medium,general,242,241,0,241,0.9504206262110482,0.8328978515038055,1.0,0.8328978515038055,0.0,-0.1175227747072427,-0.16710214849619454,tie
93,outdoor sectional dining,3,medium,general,233,221,58,163,0.632308304254982,0.627095935777717,0.9664515752024124,0.754368695647985,0.12727275987026798,0.12206039139300306,-0.2120828795544274,LTR_better
104,flour and sugar containers,4,medium,general,179,178,12,166,0.9245051374078055,1.0,1.0,0.9664515752024124,-0.03354842479758757,0.04194643779460694,-0.03354842479758757,BM25_better
126,leather dining chairs,3,medium,general,719,678,241,437,1.0,0.9476171368560405,0.983096440879091,0.8125952066495404,-0.1350219302065001,-0.18740479335045956,-0.17050123422955055,BM25_better
131,kids chair,2,short,exact_product_match,3479,1808,173,1635,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
132,farmhouse cabinet,2,short,short,1260,591,42,549,0.9772536427870777,0.8407559653022282,0.9878316351280036,0.6127962621831762,-0.227959703119052,-0.36445738060390154,-0.37503537294482747,BM25_better
148,industrial,1,short,short,249,197,194,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
153,bohemian,1,short,short,178,153,145,8,0.993216879066224,0.9897119920294625,1.0,1.0,0.010288007970537527,0.006783120933775977,0.0,LTR_better
182,penny round tile,3,medium,general,98,98,58,40,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
206,grill cover 73,3,medium,general,67,59,2,57,0.7474427036679173,0.9664515752024124,0.8428919178014227,1.0,0.03354842479758757,0.2525572963320827,0.1571080821985773,LTR_better
222,small loving roomtables,3,medium,general,77,36,31,5,0.6303943463464078,0.6303943463464078,0.7192497327147057,0.0,-0.6303943463464078,-0.6303943463464078,-0.7192497327147057,BM25_better
232,storage dresser,2,short,short,2329,574,423,151,1.0,1.0,0.9957591943893841,0.90185575096193,-0.09814424903806995,-0.09814424903806995,-0.09390344342745405,BM25_better
238,outdoor seat/back cushion,3,medium,exact_product_match,318,317,54,263,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
252,accent chairs living room,4,medium,general,443,358,100,258,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
253,antique brass faucet,3,medium,general,117,116,5,111,0.9504206262110482,0.9971876401972103,1.0,1.0,0.00281235980278971,0.04957937378895183,0.0,LTR_better
265,candace wingback upholstered bed,4,medium,general,690,675,0,675,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
270,edge chair mat,3,medium,general,95,94,42,52,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
285,"48"" sliding single track , barn door for laundry",9,long,long,183,115,7,108,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
294,moen multi function dual shower head,6,long,long,136,98,0,98,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
306,mobley zero gravity adjustable bed with wireless remote,8,long,exact_product_match,114,90,2,88,0.9486886739920667,1.0,1.0,1.0,0.0,0.05131132600793331,0.0,tie
307,real touch roses floral arrangements in glass vase,8,long,exact_product_match,189,173,6,167,1.0,0.9154690441477004,0.9191677261551537,1.0,0.08453095585229964,0.0,0.08083227384484626,LTR_better
309,moen 5995 arbor one,4,medium,general,72,26,0,26,1.0,0.4652347214527331,0.6071752575447178,0.5714285040141098,0.10619378256137674,-0.42857149598589017,-0.035746753530607966,LTR_better
325,outdoor waterproof chest,3,medium,general,120,86,46,40,0.43067655807339306,0.5714285040141098,0.7433003943602816,0.40298313359773236,-0.16844537041637747,-0.0276934244756607,-0.34031726076254926,BM25_better
326,bowersville ladder writing desk,4,medium,exact_product_match,284,283,1,282,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
327,kohler purist brushed bronze,4,medium,general,116,89,8,81,1.0,1.0,0.7983355988319087,0.8032285550939751,-0.19677144490602494,-0.19677144490602494,0.004892956262066317,BM25_better
328,golub dining table,3,medium,exact_product_match,659,647,1,646,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
336,mystic swivel,2,short,short,360,343,1,342,0.9232758481478649,0.91674788926343,1.0,1.0,0.08325211073657002,0.0767241518521351,0.0,LTR_better
337,iittala bowl,2,short,short,201,121,39,82,0.8174733818045432,0.7926538385165374,0.6631103788439066,0.8125952066495404,0.019941368133003068,-0.004878175155002773,0.14948482780563388,LTR_better
339,ruckus chair,2,short,short,3044,104,6,98,0.9466333177850902,0.9904025836274859,0.9890862835774268,0.9638204223922388,-0.026582161235247148,0.017187104607148562,-0.025265861185188032,BM25_better
345,oriental vanity,2,short,short,1148,757,0,757,1.0,0.0,1.0,1.0,1.0,0.0,0.0,LTR_better
364,croscill ashton,2,short,short,114,45,0,45,0.971614045963685,0.9196461703481418,1.0,0.9830168297915421,0.06337065944340037,0.011402783827857199,-0.016983170208457854,LTR_better
366,drudge report,2,short,short,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie
377,glinda upholstered bench,3,medium,general,134,134,0,134,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
397,maryford queen tufted bed,4,medium,general,493,491,0,491,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
405,queen ann style living room chair,6,long,long,446,345,0,345,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
406,refrigerator with ice an water in door,7,long,long,98,77,22,55,0.8032285550939751,0.7962372977085499,0.7962372977085499,0.7695900200452496,-0.02664727766330033,-0.03363853504872549,-0.02664727766330033,BM25_better
408,girl reading statue,3,medium,general,102,102,31,71,0.924258153473289,1.0,0.993216879066224,1.0,0.0,0.07574184652671101,0.006783120933775977,tie
414,shower hooks,2,short,short,914,375,165,210,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
425,side table with storage,4,medium,general,743,720,56,664,1.0,0.9548073730884988,0.9154690441477004,0.9124031819349625,-0.04240419115353633,-0.0875968180650375,-0.0030658622127378576,BM25_better
426,outdoor storage,2,short,short,3254,1224,223,1001,1.0,0.9851514063429596,0.9783012898581854,0.8471779732814125,-0.13797343306154708,-0.15282202671858747,-0.1311233165767729,BM25_better
427,lowes tile,2,short,short,1125,626,0,626,1.0,1.0,0.8328978515038055,1.0,0.0,0.0,0.16710214849619454,tie
436,full bed with trundle,4,medium,general,214,208,46,162,0.9520699566198683,1.0,0.9754282454131568,0.9911365418282455,-0.00886345817175449,0.03906658520837725,0.01570829641508875,BM25_better
439,parsons chairs,2,short,short,3276,2432,216,2216,0.9216149137893153,0.8007194814268488,0.9635694811872906,1.0,0.1992805185731512,0.07838508621068474,0.03643051881270942,LTR_better
440,wood bar stools,3,medium,general,777,763,255,508,0.8205725510999616,0.7827068917847372,0.9340945832641993,0.767052670562042,-0.01565422122269522,-0.05351988053791967,-0.1670419127021573,BM25_better
448,bed side table,3,medium,general,203,198,81,117,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
470,elephant framed,2,short,short,638,285,45,240,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
481,emma headboard,2,short,short,219,211,1,210,0.7496812513391778,0.6727121162120745,1.0,1.0,0.3272878837879255,0.25031874866082215,0.0,LTR_better
482,48 inch kitchen hood,4,medium,general,104,99,12,87,0.9810633316255292,0.9830168297915423,0.7529833860223454,0.9302822485224551,-0.052734581269087144,-0.050781083103074054,0.17729886250010973,BM25_better
